complexity,cost,feature_complexity,feature_cost,freqs
8.0,0.160674,5,0.021638461398997645,136
9.0,0.145348,8,0.01908430762038365,63
6.0,0.061488,6,0.005108307557227995,61
4.0,0.092324,5,0.005108307557227994,56
5.0,0.061672,8,0.0,50
4.0,0.260209,2,0.033087755796053483,49
8.0,0.030836,12,0.0,48
9.0,0.04607,9,0.005108307557227995,15
7.0,0.046162,9,0.0025541537786139975,12
11.0,0.030652,12,0.005108307557227994,11
7.0,0.046162,9,0.0025541537786139975,8
11.0,0.030744,17,0.0025541537786139975,3
8.0,0.197962,5,0.025517026354407814,3
12.0,0.015418,20,0.0,3
8.0,0.207595,5,0.02665503706202932,2
8.0,0.044852,10,0.0,2
7.0,0.061488,6,0.005108307557227995,1
12.0,0.022989,16,0.0038312306679209956,1
6.0,0.16915,5,0.017911773835915756,1
10.0,0.048026,12,0.0,1
10.0,0.030744,12,0.002554153778613997,1
9.0,0.202689,8,0.027670807006430823,1
9.0,0.030836,12,0.0,1
