complexity,cost,feature_complexity,feature_cost,freqs
18.0,0.0,10,0.0,168.0
17.0,0.01522,9,0.0030439442658092173,151.0
17.0,0.0,9,0.0,89.0
20.0,0.01522,8,0.0030439442658092173,80.0
17.0,0.0,9,0.0,27.0
16.0,0.0,8,0.0,15.0
20.0,0.01522,8,0.0030439442658092173,14.0
17.0,0.01522,9,0.0030439442658092173,6.0
16.0,0.03044,8,0.006087888531618435,5.0
20.0,0.01522,8,0.0030439442658092173,3.0
20.0,0.01522,8,0.0030439442658092173,1.0
15.0,0.03044,7,0.006087888531618435,1.0
17.0,0.01522,9,0.0030439442658092173,1.0
17.0,0.01522,8,0.0030439442658092173,
16.0,0.03044,8,0.006087888531618435,
19.0,0.03044,7,0.006087888531618435,
17.0,0.0,9,0.0,
16.0,0.01522,8,0.0030439442658092173,
17.0,0.0,8,0.0,
20.0,0.01522,7,0.0030439442658092173,
18.0,0.01522,8,0.0030439442658092173,
17.0,0.01522,7,0.0030439442658092173,
20.0,0.01522,8,0.0030439442658092173,
19.0,0.03044,7,0.006087888531618435,
17.0,0.01522,9,0.0030439442658092173,
15.0,0.03044,8,0.006087888531618435,
17.0,0.01522,8,0.0030439442658092173,
16.0,0.01522,8,0.0030439442658092173,
16.0,0.03044,7,0.006087888531618435,
16.0,0.03044,8,0.006087888531618435,
14.0,0.04566,7,0.009131832797427651,
19.0,0.03044,7,0.006087888531618435,
19.0,0.03044,7,0.006087888531618435,
17.0,0.01522,9,0.0030439442658092173,
16.0,0.03044,8,0.006087888531618435,
16.0,0.01522,8,0.0030439442658092173,
19.0,0.03044,7,0.006087888531618435,
16.0,0.01522,8,0.0030439442658092173,
15.0,0.01522,7,0.0030439442658092173,
19.0,0.03044,7,0.006087888531618435,
16.0,0.03044,8,0.006087888531618435,
15.0,0.04566,7,0.009131832797427651,
19.0,0.03044,7,0.006087888531618435,
19.0,0.03044,7,0.006087888531618435,
14.0,0.04566,6,0.009131832797427651,
14.0,0.06088,7,0.012175777063236871,
13.0,0.0761,6,0.015219721329046088,
19.0,0.01522,8,0.0030439442658092173,
18.0,0.03044,7,0.006087888531618435,
19.0,0.01522,7,0.0030439442658092173,
20.0,0.03044,6,0.006087888531618435,
17.0,0.0,9,0.0,
16.0,0.01522,8,0.0030439442658092173,
17.0,0.0,8,0.0,
15.0,0.0,8,0.0,
16.0,0.01522,7,0.0030439442658092173,
16.0,0.01522,8,0.0030439442658092173,
14.0,0.01522,7,0.0030439442658092173,
20.0,0.01522,7,0.0030439442658092173,
18.0,0.01522,8,0.0030439442658092173,
16.0,0.03044,7,0.006087888531618435,
17.0,0.01522,7,0.0030439442658092173,
16.0,0.01522,7,0.0030439442658092173,
15.0,0.03044,6,0.006087888531618435,
19.0,0.01522,8,0.0030439442658092173,
18.0,0.03044,7,0.006087888531618435,
19.0,0.01522,7,0.0030439442658092173,
20.0,0.03044,6,0.006087888531618435,
20.0,0.01522,8,0.0030439442658092173,
19.0,0.03044,7,0.006087888531618435,
19.0,0.03044,7,0.006087888531618435,
14.0,0.03044,7,0.006087888531618435,
13.0,0.04566,6,0.009131832797427651,
14.0,0.0761,5,0.015219721329046088,
17.0,0.0,9,0.0,
16.0,0.01522,8,0.0030439442658092173,
16.0,0.0,8,0.0,
18.0,0.01522,7,0.0030439442658092173,
16.0,0.0,8,0.0,
14.0,0.0,7,0.0,
18.0,0.01522,7,0.0030439442658092173,
16.0,0.01522,8,0.0030439442658092173,
15.0,0.03044,7,0.006087888531618435,
19.0,0.01522,7,0.0030439442658092173,
19.0,0.01522,7,0.0030439442658092173,
13.0,0.03044,6,0.006087888531618435,
17.0,0.01522,8,0.0030439442658092173,
15.0,0.01522,7,0.0030439442658092173,
16.0,0.03044,7,0.006087888531618435,
18.0,0.03044,6,0.006087888531618435,
17.0,0.0,8,0.0,
16.0,0.01522,7,0.0030439442658092173,
16.0,0.0,7,0.0,
18.0,0.01522,6,0.0030439442658092173,
17.0,0.01522,7,0.0030439442658092173,
15.0,0.01522,6,0.0030439442658092173,
20.0,0.01522,7,0.0030439442658092173,
19.0,0.03044,6,0.006087888531618435,
20.0,0.01522,8,0.0030439442658092173,
19.0,0.03044,7,0.006087888531618435,
19.0,0.01522,7,0.0030439442658092173,
17.0,0.03044,6,0.006087888531618435,
19.0,0.01522,7,0.0030439442658092173,
17.0,0.01522,6,0.0030439442658092173,
19.0,0.03044,6,0.006087888531618435,
19.0,0.03044,7,0.006087888531618435,
17.0,0.04566,6,0.009131832797427651,
20.0,0.03044,6,0.006087888531618435,
21.0,0.03044,6,0.006087888531618435,
15.0,0.04566,5,0.009131832797427651,
17.0,0.0,9,0.0,
16.0,0.01522,8,0.0030439442658092173,
16.0,0.0,8,0.0,
19.0,0.01522,7,0.0030439442658092173,
16.0,0.0,8,0.0,
15.0,0.0,7,0.0,
19.0,0.01522,7,0.0030439442658092173,
16.0,0.01522,8,0.0030439442658092173,
15.0,0.03044,7,0.006087888531618435,
19.0,0.01522,7,0.0030439442658092173,
19.0,0.01522,7,0.0030439442658092173,
14.0,0.03044,6,0.006087888531618435,
16.0,0.01522,8,0.0030439442658092173,
15.0,0.01522,7,0.0030439442658092173,
15.0,0.03044,7,0.006087888531618435,
18.0,0.03044,6,0.006087888531618435,
16.0,0.0,8,0.0,
15.0,0.01522,7,0.0030439442658092173,
15.0,0.0,7,0.0,
18.0,0.01522,6,0.0030439442658092173,
16.0,0.01522,7,0.0030439442658092173,
15.0,0.01522,6,0.0030439442658092173,
19.0,0.01522,7,0.0030439442658092173,
18.0,0.03044,6,0.006087888531618435,
18.0,0.01522,8,0.0030439442658092173,
16.0,0.03044,7,0.006087888531618435,
17.0,0.01522,7,0.0030439442658092173,
16.0,0.01522,7,0.0030439442658092173,
17.0,0.03044,6,0.006087888531618435,
17.0,0.03044,7,0.006087888531618435,
15.0,0.04566,6,0.009131832797427651,
20.0,0.03044,6,0.006087888531618435,
19.0,0.03044,6,0.006087888531618435,
19.0,0.01522,8,0.0030439442658092173,
18.0,0.03044,7,0.006087888531618435,
18.0,0.01522,7,0.0030439442658092173,
17.0,0.03044,6,0.006087888531618435,
18.0,0.01522,7,0.0030439442658092173,
17.0,0.01522,6,0.0030439442658092173,
19.0,0.03044,6,0.006087888531618435,
18.0,0.03044,7,0.006087888531618435,
16.0,0.04566,6,0.009131832797427651,
19.0,0.03044,6,0.006087888531618435,
20.0,0.03044,6,0.006087888531618435,
15.0,0.04566,5,0.009131832797427651,
17.0,0.01522,9,0.0030439442658092173,
16.0,0.03044,8,0.006087888531618435,
17.0,0.01522,8,0.0030439442658092173,
17.0,0.01522,8,0.0030439442658092173,
17.0,0.03044,7,0.006087888531618435,
