complexity,cost,feature_complexity,feature_cost,freqs
18.0,0.0,28,0.0,151.0
17.0,0.010424,24,0.0020847194499889117,143.0
17.0,0.0,24,0.0,88.0
19.0,0.010424,22,0.0020847194499889117,65.0
17.0,0.0,24,0.0,63.0
14.0,0.0,20,0.0,15.0
19.0,0.010424,22,0.0020847194499889117,14.0
17.0,0.010424,24,0.0020847194499889117,7.0
15.0,0.020848,20,0.004169438899977823,4.0
19.0,0.010424,22,0.0020847194499889117,4.0
19.0,0.010424,22,0.0020847194499889117,2.0
13.0,0.020848,17,0.004169438899977823,1.0
17.0,0.010424,24,0.0020847194499889117,1.0
16.0,0.010424,20,0.0020847194499889117,
16.0,0.020848,20,0.004169438899977823,
18.0,0.020848,18,0.004169438899977823,
17.0,0.0,24,0.0,
16.0,0.010424,20,0.0020847194499889117,
16.0,0.0,20,0.0,
18.0,0.010424,18,0.0020847194499889117,
18.0,0.010424,22,0.0020847194499889117,
15.0,0.010424,18,0.0020847194499889117,
19.0,0.010424,28,0.0020847194499889117,
18.0,0.020848,24,0.004169438899977823,
17.0,0.010424,24,0.0020847194499889117,
15.0,0.020848,20,0.004169438899977823,
16.0,0.010424,20,0.0020847194499889117,
17.0,0.010424,20,0.0020847194499889117,
16.0,0.020848,18,0.004169438899977823,
16.0,0.020848,20,0.004169438899977823,
14.0,0.031272,16,0.006254158349966735,
18.0,0.020848,18,0.004169438899977823,
19.0,0.020848,24,0.004169438899977823,
17.0,0.010424,24,0.0020847194499889117,
16.0,0.020848,20,0.004169438899977823,
16.0,0.010424,20,0.0020847194499889117,
18.0,0.020848,18,0.004169438899977823,
16.0,0.010424,20,0.0020847194499889117,
13.0,0.010424,16,0.0020847194499889117,
18.0,0.020848,18,0.004169438899977823,
16.0,0.020848,20,0.004169438899977823,
14.0,0.031272,16,0.006254158349966735,
18.0,0.020848,18,0.004169438899977823,
18.0,0.020848,18,0.004169438899977823,
12.0,0.031272,13,0.006254158349966735,
14.0,0.041696,18,0.008338877799955647,
13.0,0.05212,14,0.010423597249944558,
20.0,0.010424,28,0.0020847194499889117,
19.0,0.020848,24,0.004169438899977823,
19.0,0.010424,24,0.0020847194499889117,
19.0,0.020848,22,0.004169438899977823,
17.0,0.0,24,0.0,
17.0,0.010424,20,0.0020847194499889117,
16.0,0.0,20,0.0,
15.0,0.0,20,0.0,
16.0,0.010424,18,0.0020847194499889117,
16.0,0.010424,20,0.0020847194499889117,
14.0,0.010424,16,0.0020847194499889117,
18.0,0.010424,18,0.0020847194499889117,
18.0,0.010424,22,0.0020847194499889117,
16.0,0.020848,18,0.004169438899977823,
15.0,0.010424,18,0.0020847194499889117,
16.0,0.010424,18,0.0020847194499889117,
13.0,0.020848,16,0.004169438899977823,
20.0,0.010424,28,0.0020847194499889117,
19.0,0.020848,24,0.004169438899977823,
19.0,0.010424,24,0.0020847194499889117,
19.0,0.020848,22,0.004169438899977823,
19.0,0.010424,28,0.0020847194499889117,
18.0,0.020848,24,0.004169438899977823,
19.0,0.020848,24,0.004169438899977823,
14.0,0.020848,18,0.004169438899977823,
13.0,0.031272,14,0.006254158349966735,
12.0,0.05212,13,0.010423597249944558,
17.0,0.0,24,0.0,
16.0,0.010424,20,0.0020847194499889117,
16.0,0.0,20,0.0,
19.0,0.010424,24,0.0020847194499889117,
16.0,0.0,20,0.0,
14.0,0.0,16,0.0,
19.0,0.010424,24,0.0020847194499889117,
16.0,0.010424,20,0.0020847194499889117,
15.0,0.020848,16,0.004169438899977823,
18.0,0.010424,24,0.0020847194499889117,
18.0,0.010424,24,0.0020847194499889117,
13.0,0.020848,14,0.004169438899977823,
16.0,0.010424,20,0.0020847194499889117,
15.0,0.010424,16,0.0020847194499889117,
15.0,0.020848,16,0.004169438899977823,
17.0,0.020848,20,0.004169438899977823,
16.0,0.0,20,0.0,
15.0,0.010424,16,0.0020847194499889117,
14.0,0.0,16,0.0,
17.0,0.010424,20,0.0020847194499889117,
16.0,0.010424,18,0.0020847194499889117,
14.0,0.010424,14,0.0020847194499889117,
18.0,0.010424,18,0.0020847194499889117,
17.0,0.020848,14,0.004169438899977823,
19.0,0.010424,28,0.0020847194499889117,
18.0,0.020848,24,0.004169438899977823,
18.0,0.010424,24,0.0020847194499889117,
17.0,0.020848,28,0.004169438899977823,
18.0,0.010424,24,0.0020847194499889117,
16.0,0.010424,20,0.0020847194499889117,
19.0,0.020848,28,0.004169438899977823,
18.0,0.020848,24,0.004169438899977823,
16.0,0.031272,20,0.006254158349966735,
18.0,0.020848,28,0.004169438899977823,
19.0,0.020848,28,0.004169438899977823,
14.0,0.031272,18,0.006254158349966735,
17.0,0.0,24,0.0,
16.0,0.010424,20,0.0020847194499889117,
16.0,0.0,20,0.0,
18.0,0.010424,18,0.0020847194499889117,
16.0,0.0,20,0.0,
13.0,0.0,16,0.0,
18.0,0.010424,18,0.0020847194499889117,
16.0,0.010424,20,0.0020847194499889117,
15.0,0.020848,16,0.004169438899977823,
18.0,0.010424,18,0.0020847194499889117,
18.0,0.010424,18,0.0020847194499889117,
