complexity,cost,feature_complexity,feature_cost,freqs
6.0,0.041696,3,0.008338877799955647,151
7.0,0.187231,3,0.08375591056979755,143
4.0,0.083392,2,0.016677755599911293,88
3.0,0.333407,1,0.14313017288067698,65
9.0,0.020848,5,0.004169438899977823,63
7.0,0.041696,3,0.008338877799955647,15
10.0,0.0,5,0.0,14
9.0,0.041696,5,0.008338877799955647,7
8.0,0.187231,5,0.08375591056979755,4
9.0,0.020848,5,0.004169438899977823,4
9.0,0.020848,5,0.004169438899977823,2
9.0,0.020848,5,0.004169438899977823,1
11.0,0.103959,7,0.04805155368527813,1
