complexity,cost,feature_complexity,feature_cost,freqs
14.0,0.0,24,0.0,331.0
12.0,0.24669,20,0.04933792900169434,100.0
13.0,0.21618,20,0.043236074270557034,83.0
13.0,0.24669,20,0.09867585800338868,11.0
13.0,0.563077,18,0.13265706013312584,7.0
13.0,0.24669,20,0.0986758580033887,7.0
11.0,0.493379,16,0.19735171600677742,4.0
13.0,0.28382,20,0.05676392572944297,4.0
11.0,0.5,16,0.1,2.0
13.0,0.616814,18,0.1406235839706041,2.0
12.0,0.24669,20,0.04933792900169434,1.0
10.0,0.493379,16,0.09867585800338868,1.0
13.0,0.563077,18,0.13265706013312584,1.0
13.0,0.616814,18,0.1406235839706041,1.0
9.0,0.993379,13,0.19867585800338872,1.0
12.0,0.0,20,0.0,1.0
12.0,0.24669,16,0.09867585800338868,1.0
11.0,0.28382,16,0.05676392572944297,1.0
11.0,0.24669,16,0.04933792900169434,1.0
12.0,0.616814,14,0.1406235839706041,
14.0,0.0,20,0.0,
12.0,0.21618,16,0.043236074270557034,
12.0,0.24669,16,0.0986758580033887,
12.0,0.24669,16,0.04933792900169434,
12.0,0.563077,14,0.13265706013312584,
13.0,0.24669,18,0.04933792900169434,
11.0,0.493379,14,0.09867585800338868,
13.0,0.0,20,0.0,
12.0,0.24669,16,0.04933792900169434,
12.0,0.24669,16,0.0986758580033887,
13.0,0.28382,16,0.05676392572944297,
13.0,0.616814,14,0.1406235839706041,
13.0,0.21618,18,0.043236074270557034,
12.0,0.5,14,0.1,
15.0,0.24669,24,0.09867585800338868,
13.0,0.493379,20,0.19735171600677742,
13.0,0.563077,21,0.13265706013312584,
12.0,0.0,27,0.0,
11.0,0.24669,23,0.04933792900169434,
12.0,0.21618,23,0.043236074270557034,
11.0,0.24669,23,0.09867585800338868,
12.0,0.563077,21,0.13265706013312584,
12.0,0.24669,24,0.0986758580033887,
12.0,0.493379,20,0.19735171600677742,
14.0,0.28382,24,0.05676392572944297,
14.0,0.5,20,0.1,
12.0,0.616814,21,0.1406235839706041,
13.0,0.24669,24,0.04933792900169434,
12.0,0.493379,20,0.09867585800338868,
13.0,0.563077,21,0.13265706013312584,
12.0,0.616814,21,0.1406235839706041,
11.0,0.993379,18,0.19867585800338872,
14.0,0.0,20,0.0,
12.0,0.24669,16,0.09867585800338868,
12.0,0.28382,16,0.05676392572944297,
12.0,0.24669,16,0.04933792900169434,
12.0,0.616814,14,0.1406235839706041,
11.0,0.0,16,0.0,
9.0,0.24669,12,0.04933792900169434,
12.0,0.0,16,0.0,
11.0,0.28382,12,0.05676392572944297,
13.0,0.24669,20,0.09867585800338868,
12.0,0.0,23,0.0,
10.0,0.24669,19,0.09867585800338868,
14.0,0.28382,20,0.05676392572944297,
13.0,0.24669,20,0.04933792900169434,
11.0,0.616814,17,0.1406235839706041,
12.0,0.0,20,0.0,
11.0,0.21618,16,0.043236074270557034,
12.0,0.24669,16,0.0986758580033887,
11.0,0.24669,16,0.04933792900169434,
12.0,0.563077,14,0.13265706013312584,
10.0,0.0,16,0.0,
9.0,0.24669,12,0.04933792900169434,
11.0,0.0,16,0.0,
10.0,0.24669,12,0.0986758580033887,
11.0,0.21618,14,0.043236074270557034,
11.0,0.0,23,0.0,
10.0,0.21618,19,0.043236074270557034,
11.0,0.24669,20,0.0986758580033887,
12.0,0.24669,20,0.04933792900169434,
11.0,0.563077,17,0.13265706013312584,
13.0,0.24669,18,0.04933792900169434,
11.0,0.493379,14,0.09867585800338868,
11.0,0.24669,14,0.04933792900169434,
12.0,0.24669,21,0.04933792900169434,
12.0,0.493379,18,0.09867585800338868,
11.0,0.0,27,0.0,
10.0,0.24669,23,0.04933792900169434,
11.0,0.24669,23,0.0986758580033887,
11.0,0.28382,23,0.05676392572944297,
12.0,0.616814,21,0.1406235839706041,
10.0,0.0,23,0.0,
10.0,0.28382,19,0.05676392572944297,
12.0,0.0,23,0.0,
10.0,0.24669,19,0.0986758580033887,
11.0,0.24669,21,0.04933792900169434,
10.0,0.0,30,0.0,
9.0,0.24669,26,0.04933792900169434,
11.0,0.24669,27,0.0986758580033887,
13.0,0.28382,27,0.05676392572944297,
10.0,0.616814,24,0.1406235839706041,
14.0,0.21618,24,0.043236074270557034,
14.0,0.5,20,0.1,
14.0,0.21618,20,0.043236074270557034,
13.0,0.21618,27,0.043236074270557034,
12.0,0.5,24,0.1,
12.0,0.24669,24,0.09867585800338868,
12.0,0.493379,20,0.19735171600677742,
11.0,0.24669,20,0.09867585800338868,
11.0,0.24669,27,0.09867585800338868,
9.0,0.493379,24,0.19735171600677742,
11.0,0.563077,21,0.13265706013312584,
10.0,0.563077,24,0.13265706013312584,
13.0,0.0,20,0.0,
12.0,0.24669,16,0.04933792900169434,
12.0,0.21618,16,0.043236074270557034,
11.0,0.24669,16,0.09867585800338868,
12.0,0.563077,14,0.13265706013312584,
12.0,0.0,16,0.0,
10.0,0.24669,12,0.09867585800338868,
13.0,0.0,16,0.0,
11.0,0.21618,12,0.043236074270557034,
12.0,0.24669,14,0.04933792900169434,
11.0,0.0,16,0.0,
10.0,0.24669,12,0.04933792900169434,
12.0,0.21618,14,0.043236074270557034,
13.0,0.24669,20,0.09867585800338868,
11.0,0.563077,17,0.13265706013312584,
14.0,0.24669,24,0.0986758580033887,
13.0,0.493379,20,0.19735171600677742,
14.0,0.24669,20,0.0986758580033887,
13.0,0.24669,20,0.0986758580033887,
13.0,0.493379,24,0.19735171600677742,
13.0,0.28382,18,0.05676392572944297,
12.0,0.5,14,0.1,
11.0,0.28382,14,0.05676392572944297,
12.0,0.28382,14,0.05676392572944297,
9.0,0.5,12,0.1,
13.0,0.616814,21,0.1406235839706041,
11.0,0.616814,17,0.1406235839706041,
12.0,0.24669,24,0.04933792900169434,
11.0,0.493379,20,0.09867585800338868,
11.0,0.24669,20,0.04933792900169434,
13.0,0.24669,20,0.04933792900169434,
12.0,0.493379,18,0.09867585800338868,
12.0,0.563077,21,0.13265706013312584,
11.0,0.563077,17,0.13265706013312584,
13.0,0.616814,21,0.1406235839706041,
11.0,0.616814,17,0.1406235839706041,
11.0,0.993379,18,0.19867585800338872,
12.0,0.24669,20,0.04933792900169434,
10.0,0.493379,16,0.09867585800338868,
11.0,0.46287,16,0.09257400327225138,
11.0,0.493379,16,0.14801378700508303,
11.0,0.809767,14,0.18199498913482018,
11.0,0.493379,16,0.14801378700508305,
9.0,0.740069,12,0.24668964500847176,
12.0,0.53051,16,0.10610185473113731,
9.0,0.74669,12,0.14933792900169435,
11.0,0.863503,14,0.18996151297229844,
10.0,0.493379,16,0.09867585800338868,
8.0,0.740069,12,0.14801378700508303,
11.0,0.809767,14,0.18199498913482018,
11.0,0.863503,14,0.18996151297229844,
7.0,1.240069,9,0.24801378700508306,
13.0,0.24669,18,0.04933792900169434,
11.0,0.493379,14,0.14801378700508303,
12.0,0.53051,14,0.10610185473113731,
11.0,0.493379,14,0.09867585800338868,
11.0,0.863503,12,0.18996151297229844,
13.0,0.24669,18,0.04933792900169434,
11.0,0.46287,14,0.09257400327225138,
12.0,0.493379,14,0.14801378700508305,
11.0,0.493379,14,0.09867585800338868,
11.0,0.809767,12,0.18199498913482018,
9.0,0.493379,13,0.09867585800338868,
7.0,0.740069,9,0.14801378700508303,
12.0,0.24669,24,0.04933792900169434,
11.0,0.493379,20,0.09867585800338868,
12.0,0.493379,20,0.14801378700508305,
12.0,0.53051,20,0.10610185473113731,
12.0,0.863503,18,0.18996151297229844,
11.0,0.46287,21,0.09257400327225138,
10.0,0.74669,17,0.14933792900169435,
12.0,0.493379,21,0.14801378700508303,
10.0,0.740069,17,0.24668964500847176,
9.0,0.809767,18,0.18199498913482018,
13.0,0.24669,24,0.04933792900169434,
12.0,0.493379,20,0.09867585800338868,
13.0,0.46287,20,0.09257400327225138,
12.0,0.493379,20,0.14801378700508303,
12.0,0.809767,18,0.18199498913482018,
12.0,0.493379,21,0.14801378700508305,
10.0,0.740069,17,0.24668964500847176,
12.0,0.53051,21,0.10610185473113731,
10.0,0.74669,17,0.14933792900169435,
12.0,0.863503,18,0.18996151297229844,
9.0,0.493379,13,0.09867585800338868,
8.0,0.740069,9,0.14801378700508303,
10.0,0.809767,18,0.18199498913482018,
11.0,0.863503,18,0.18996151297229844,
7.0,1.240069,9,0.24801378700508306,
13.0,0.0,20,0.0,
12.0,0.24669,16,0.09867585800338868,
12.0,0.28382,16,0.05676392572944297,
12.0,0.24669,16,0.04933792900169434,
13.0,0.616814,14,0.1406235839706041,
12.0,0.0,16,0.0,
11.0,0.24669,12,0.04933792900169434,
11.0,0.0,16,0.0,
12.0,0.28382,12,0.05676392572944297,
13.0,0.24669,20,0.09867585800338868,
11.0,0.0,23,0.0,
10.0,0.24669,19,0.09867585800338868,
14.0,0.28382,20,0.05676392572944297,
12.0,0.24669,20,0.04933792900169434,
11.0,0.616814,17,0.1406235839706041,
11.0,0.0,16,0.0,
10.0,0.24669,12,0.04933792900169434,
9.0,0.0,12,0.0,
10.0,0.0,19,0.0,
10.0,0.24669,16,0.04933792900169434,
11.0,0.0,23,0.0,
12.0,0.28382,19,0.05676392572944297,
10.0,0.0,19,0.0,
9.0,0.0,26,0.0,
12.0,0.28382,23,0.05676392572944297,
12.0,0.24669,20,0.09867585800338868,
10.0,0.24669,23,0.09867585800338868,
12.0,0.0,16,0.0,
12.0,0.24669,12,0.09867585800338868,
12.0,0.0,12,0.0,
10.0,0.0,12,0.0,
12.0,0.24669,16,0.09867585800338868,
13.0,0.28382,14,0.05676392572944297,
11.0,0.28382,10,0.05676392572944297,
12.0,0.24669,20,0.04933792900169434,
11.0,0.24669,16,0.04933792900169434,
12.0,0.616814,17,0.1406235839706041,
12.0,0.24669,16,0.04933792900169434,
10.0,0.493379,12,0.14801378700508303,
11.0,0.53051,12,0.10610185473113731,
10.0,0.493379,12,0.09867585800338868,
11.0,0.863503,10,0.18996151297229844,
12.0,0.24669,14,0.04933792900169434,
11.0,0.493379,10,0.09867585800338868,
12.0,0.24669,20,0.04933792900169434,
12.0,0.53051,16,0.10610185473113731,
10.0,0.493379,17,0.14801378700508303,
12.0,0.24669,20,0.04933792900169434,
11.0,0.493379,16,0.14801378700508303,
11.0,0.53051,17,0.10610185473113731,
8.0,0.493379,9,0.09867585800338868,
9.0,0.863503,14,0.18996151297229844,
12.0,0.0,27,0.0,
12.0,0.21618,23,0.043236074270557034,
11.0,0.24669,23,0.0986758580033887,
11.0,0.24669,23,0.04933792900169434,
12.0,0.563077,21,0.13265706013312584,
11.0,0.0,23,0.0,
10.0,0.24669,19,0.04933792900169434,
11.0,0.0,23,0.0,
10.0,0.24669,19,0.0986758580033887,
12.0,0.21618,21,0.043236074270557034,
10.0,0.0,30,0.0,
11.0,0.21618,26,0.043236074270557034,
11.0,0.24669,27,0.0986758580033887,
11.0,0.24669,27,0.04933792900169434,
12.0,0.563077,24,0.13265706013312584,
12.0,0.0,23,0.0,
11.0,0.24669,19,0.04933792900169434,
10.0,0.0,19,0.0,
11.0,0.0,26,0.0,
11.0,0.24669,23,0.04933792900169434,
10.0,0.0,30,0.0,
9.0,0.24669,26,0.0986758580033887,
9.0,0.0,26,0.0,
8.0,0.0,33,0.0,
9.0,0.24669,30,0.0986758580033887,
13.0,0.21618,27,0.043236074270557034,
11.0,0.21618,30,0.043236074270557034,
11.0,0.0,23,0.0,
12.0,0.21618,19,0.043236074270557034,
11.0,0.0,19,0.0,
9.0,0.0,19,0.0,
11.0,0.21618,17,0.043236074270557034,
13.0,0.24669,27,0.0986758580033887,
11.0,0.24669,23,0.0986758580033887,
11.0,0.24669,27,0.04933792900169434,
10.0,0.24669,23,0.04933792900169434,
10.0,0.563077,24,0.13265706013312584,
11.0,0.24669,23,0.04933792900169434,
10.0,0.46287,19,0.09257400327225138,
10.0,0.493379,19,0.14801378700508305,
9.0,0.493379,19,0.09867585800338868,
10.0,0.809767,17,0.18199498913482018,
12.0,0.24669,21,0.04933792900169434,
11.0,0.493379,17,0.09867585800338868,
11.0,0.24669,27,0.04933792900169434,
10.0,0.493379,23,0.14801378700508305,
10.0,0.46287,24,0.09257400327225138,
11.0,0.24669,27,0.04933792900169434,
11.0,0.46287,23,0.09257400327225138,
11.0,0.493379,24,0.14801378700508305,
7.0,0.493379,16,0.09867585800338868,
9.0,0.809767,21,0.18199498913482018,
12.0,0.24669,24,0.04933792900169434,
12.0,0.493379,20,0.09867585800338868,
12.0,0.24669,20,0.04933792900169434,
11.0,0.24669,27,0.04933792900169434,
10.0,0.493379,24,0.09867585800338868,
11.0,0.24669,27,0.04933792900169434,
9.0,0.24669,30,0.04933792900169434,
12.0,0.24669,20,0.04933792900169434,
10.0,0.24669,16,0.04933792900169434,
12.0,0.493379,24,0.09867585800338868,
11.0,0.493379,20,0.09867585800338868,
10.0,0.740069,16,0.14801378700508303,
9.0,0.493379,24,0.09867585800338868,
12.0,0.493379,24,0.09867585800338868,
8.0,0.740069,13,0.14801378700508303,
12.0,0.0,20,0.0,
11.0,0.24669,16,0.04933792900169434,
12.0,0.24669,16,0.0986758580033887,
12.0,0.28382,16,0.05676392572944297,
12.0,0.616814,14,0.1406235839706041,
10.0,0.0,16,0.0,
10.0,0.28382,12,0.05676392572944297,
12.0,0.0,16,0.0,
11.0,0.24669,12,0.0986758580033887,
11.0,0.24669,14,0.04933792900169434,
11.0,0.0,23,0.0,
10.0,0.24669,19,0.04933792900169434,
12.0,0.24669,20,0.0986758580033887,
13.0,0.28382,20,0.05676392572944297,
11.0,0.616814,17,0.1406235839706041,
12.0,0.0,16,0.0,
11.0,0.28382,12,0.05676392572944297,
9.0,0.0,12,0.0,
11.0,0.0,19,0.0,
12.0,0.28382,16,0.05676392572944297,
10.0,0.0,16,0.0,
10.0,0.24669,12,0.0986758580033887,
8.0,0.0,12,0.0,
9.0,0.0,19,0.0,
10.0,0.24669,16,0.0986758580033887,
11.0,0.24669,14,0.04933792900169434,
11.0,0.24669,17,0.04933792900169434,
11.0,0.0,16,0.0,
10.0,0.24669,12,0.04933792900169434,
10.0,0.0,12,0.0,
11.0,0.0,12,0.0,
10.0,0.24669,10,0.04933792900169434,
13.0,0.24669,20,0.0986758580033887,
12.0,0.24669,16,0.0986758580033887,
11.0,0.28382,14,0.05676392572944297,
9.0,0.28382,10,0.05676392572944297,
11.0,0.616814,17,0.1406235839706041,
11.0,0.24669,16,0.04933792900169434,
9.0,0.493379,12,0.09867585800338868,
10.0,0.493379,12,0.14801378700508305,
10.0,0.53051,12,0.10610185473113731,
10.0,0.863503,10,0.18996151297229844,
11.0,0.24669,14,0.04933792900169434,
10.0,0.53051,10,0.10610185473113731,
11.0,0.24669,14,0.04933792900169434,
11.0,0.493379,10,0.14801378700508305,
7.0,0.493379,9,0.09867585800338868,
12.0,0.24669,20,0.04933792900169434,
10.0,0.493379,16,0.09867585800338868,
11.0,0.493379,17,0.14801378700508305,
10.0,0.53051,17,0.10610185473113731,
10.0,0.863503,14,0.18996151297229844,
13.0,0.21618,18,0.043236074270557034,
12.0,0.5,14,0.1,
12.0,0.21618,14,0.043236074270557034,
12.0,0.21618,21,0.043236074270557034,
14.0,0.5,18,0.1,
11.0,0.21618,14,0.043236074270557034,
10.0,0.21618,17,0.043236074270557034,
12.0,0.21618,14,0.043236074270557034,
11.0,0.21618,10,0.043236074270557034,
12.0,0.5,12,0.1,
12.0,0.46287,14,0.09257400327225138,
11.0,0.74669,10,0.14933792900169435,
11.0,0.46287,12,0.09257400327225138,
11.0,0.46287,18,0.09257400327225138,
11.0,0.74669,15,0.14933792900169435,
13.0,0.24669,24,0.09867585800338868,
12.0,0.493379,20,0.19735171600677742,
12.0,0.24669,20,0.09867585800338868,
11.0,0.24669,27,0.09867585800338868,
10.0,0.493379,24,0.19735171600677742,
13.0,0.24669,20,0.09867585800338868,
11.0,0.24669,23,0.09867585800338868,
12.0,0.24669,20,0.09867585800338868,
10.0,0.24669,16,0.09867585800338868,
13.0,0.493379,24,0.19735171600677742,
12.0,0.493379,20,0.14801378700508303,
10.0,0.740069,16,0.24668964500847176,
12.0,0.493379,18,0.14801378700508303,
9.0,0.493379,24,0.14801378700508303,
11.0,0.740069,21,0.24668964500847176,
13.0,0.563077,21,0.13265706013312584,
12.0,0.563077,24,0.13265706013312584,
13.0,0.563077,17,0.13265706013312584,
11.0,0.809767,17,0.18199498913482018,
10.0,0.809767,21,0.18199498913482018,
14.0,0.0,20,0.0,
12.0,0.24669,16,0.04933792900169434,
13.0,0.21618,16,0.043236074270557034,
13.0,0.24669,16,0.09867585800338868,
12.0,0.563077,14,0.13265706013312584,
12.0,0.0,16,0.0,
11.0,0.24669,12,0.09867585800338868,
12.0,0.0,16,0.0,
11.0,0.21618,12,0.043236074270557034,
12.0,0.24669,14,0.04933792900169434,
13.0,0.0,16,0.0,
11.0,0.24669,12,0.04933792900169434,
12.0,0.21618,14,0.043236074270557034,
14.0,0.24669,20,0.09867585800338868,
12.0,0.563077,17,0.13265706013312584,
14.0,0.0,16,0.0,
12.0,0.24669,12,0.09867585800338868,
11.0,0.0,12,0.0,
12.0,0.0,12,0.0,
13.0,0.24669,16,0.09867585800338868,
12.0,0.0,16,0.0,
11.0,0.21618,12,0.043236074270557034,
10.0,0.0,12,0.0,
11.0,0.0,12,0.0,
10.0,0.21618,10,0.043236074270557034,
13.0,0.24669,14,0.04933792900169434,
11.0,0.24669,10,0.04933792900169434,
12.0,0.0,23,0.0,
11.0,0.24669,19,0.04933792900169434,
11.0,0.0,19,0.0,
12.0,0.0,19,0.0,
11.0,0.24669,17,0.04933792900169434,
15.0,0.21618,20,0.043236074270557034,
13.0,0.21618,16,0.043236074270557034,
13.0,0.24669,20,0.09867585800338868,
11.0,0.24669,16,0.09867585800338868,
12.0,0.563077,17,0.13265706013312584,
12.0,0.24669,16,0.04933792900169434,
10.0,0.493379,12,0.09867585800338868,
11.0,0.46287,12,0.09257400327225138,
11.0,0.493379,12,0.14801378700508303,
10.0,0.809767,10,0.18199498913482018,
13.0,0.24669,14,0.04933792900169434,
11.0,0.493379,10,0.14801378700508303,
12.0,0.24669,14,0.04933792900169434,
11.0,0.46287,10,0.09257400327225138,
9.0,0.493379,9,0.09867585800338868,
13.0,0.24669,20,0.04933792900169434,
11.0,0.493379,16,0.09867585800338868,
12.0,0.46287,17,0.09257400327225138,
12.0,0.493379,17,0.14801378700508303,
8.0,0.809767,14,0.18199498913482018,
14.0,0.24669,24,0.0986758580033887,
13.0,0.493379,20,0.19735171600677742,
14.0,0.24669,20,0.0986758580033887,
13.0,0.24669,20,0.0986758580033887,
14.0,0.493379,24,0.19735171600677742,
13.0,0.24669,20,0.0986758580033887,
11.0,0.24669,16,0.0986758580033887,
13.0,0.24669,27,0.0986758580033887,
12.0,0.24669,23,0.0986758580033887,
13.0,0.493379,24,0.19735171600677742,
13.0,0.493379,20,0.14801378700508305,
11.0,0.740069,16,0.24668964500847176,
13.0,0.493379,18,0.14801378700508305,
13.0,0.493379,24,0.14801378700508305,
12.0,0.740069,21,0.24668964500847176,
14.0,0.28382,24,0.05676392572944297,
14.0,0.5,20,0.1,
14.0,0.28382,20,0.05676392572944297,
14.0,0.28382,20,0.05676392572944297,
14.0,0.5,18,0.1,
