complexity,cost,feature_based_cost
12.0,0.616814,0.17550331630758503
10.0,0.0,0.0
10.0,0.28382,0.005676392572944297
12.0,0.0,0.0
11.0,0.24669,0.12581171895432058
11.0,0.24669,0.12581171895432058
11.0,0.0,0.0
10.0,0.24669,0.12581171895432058
12.0,0.24669,0.12581171895432058
13.0,0.28382,0.005676392572944297
11.0,0.616814,0.17550331630758503
12.0,0.0,0.0
11.0,0.28382,0.005676392572944297
9.0,0.0,0.0
11.0,0.0,0.0
12.0,0.28382,0.005676392572944297
10.0,0.0,0.0
10.0,0.24669,0.12581171895432058
8.0,0.0,0.0
9.0,0.0,0.0
10.0,0.24669,0.12581171895432058
11.0,0.24669,0.12581171895432058
11.0,0.24669,0.12581171895432058
11.0,0.0,0.0
10.0,0.24669,0.12581171895432058
10.0,0.0,0.0
11.0,0.0,0.0
10.0,0.24669,0.12581171895432058
13.0,0.24669,0.12581171895432058
12.0,0.24669,0.12581171895432058
11.0,0.28382,0.005676392572944297
9.0,0.28382,0.005676392572944297
11.0,0.616814,0.17550331630758503
11.0,0.24669,0.12581171895432058
9.0,0.493379,0.25162343790864117
10.0,0.493379,0.25162343790864117
10.0,0.53051,0.1314881115272649
10.0,0.863503,0.3013150352619056
11.0,0.24669,0.12581171895432058
10.0,0.53051,0.1314881115272649
11.0,0.24669,0.12581171895432058
11.0,0.493379,0.25162343790864117
7.0,0.493379,0.25162343790864117
12.0,0.24669,0.12581171895432058
10.0,0.493379,0.25162343790864117
11.0,0.493379,0.25162343790864117
10.0,0.53051,0.1314881115272649
10.0,0.863503,0.3013150352619056
13.0,0.21618,0.004323607427055703
12.0,0.5,0.009999999999999998
12.0,0.21618,0.004323607427055703
12.0,0.21618,0.004323607427055703
14.0,0.5,0.009999999999999998
11.0,0.21618,0.004323607427055703
10.0,0.21618,0.004323607427055703
12.0,0.21618,0.004323607427055703
11.0,0.21618,0.004323607427055703
12.0,0.5,0.009999999999999998
12.0,0.46287,0.1301353263813763
11.0,0.74669,0.1358117189543206
11.0,0.46287,0.1301353263813763
11.0,0.46287,0.1301353263813763
11.0,0.74669,0.1358117189543206
13.0,0.24669,0.12581171895432058
12.0,0.493379,0.25162343790864117
12.0,0.24669,0.12581171895432058
11.0,0.24669,0.12581171895432058
10.0,0.493379,0.25162343790864117
13.0,0.24669,0.12581171895432058
11.0,0.24669,0.12581171895432058
12.0,0.24669,0.12581171895432058
10.0,0.24669,0.12581171895432058
13.0,0.493379,0.25162343790864117
12.0,0.493379,0.25162343790864117
10.0,0.740069,0.37743515686296175
12.0,0.493379,0.25162343790864117
9.0,0.493379,0.25162343790864117
11.0,0.740069,0.37743515686296175
13.0,0.563077,0.18124122387899122
12.0,0.563077,0.18124122387899122
13.0,0.563077,0.18124122387899122
11.0,0.809767,0.3070529428333118
10.0,0.809767,0.3070529428333118
14.0,0.0,0.0
12.0,0.24669,0.12581171895432058
13.0,0.21618,0.004323607427055703
13.0,0.24669,0.12581171895432058
12.0,0.563077,0.18124122387899122
12.0,0.0,0.0
11.0,0.24669,0.12581171895432058
12.0,0.0,0.0
11.0,0.21618,0.004323607427055703
12.0,0.24669,0.12581171895432058
13.0,0.0,0.0
11.0,0.24669,0.12581171895432058
12.0,0.21618,0.004323607427055703
14.0,0.24669,0.12581171895432058
12.0,0.563077,0.18124122387899122
14.0,0.0,0.0
12.0,0.24669,0.12581171895432058
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.24669,0.12581171895432058
12.0,0.0,0.0
11.0,0.21618,0.004323607427055703
10.0,0.0,0.0
11.0,0.0,0.0
10.0,0.21618,0.004323607427055703
13.0,0.24669,0.12581171895432058
11.0,0.24669,0.12581171895432058
12.0,0.0,0.0
11.0,0.24669,0.12581171895432058
11.0,0.0,0.0
12.0,0.0,0.0
11.0,0.24669,0.12581171895432058
15.0,0.21618,0.004323607427055703
13.0,0.21618,0.004323607427055703
13.0,0.24669,0.12581171895432058
11.0,0.24669,0.12581171895432058
12.0,0.563077,0.18124122387899122
12.0,0.24669,0.12581171895432058
10.0,0.493379,0.25162343790864117
11.0,0.46287,0.1301353263813763
11.0,0.493379,0.25162343790864117
10.0,0.809767,0.3070529428333118
13.0,0.24669,0.12581171895432058
11.0,0.493379,0.25162343790864117
12.0,0.24669,0.12581171895432058
11.0,0.46287,0.1301353263813763
9.0,0.493379,0.25162343790864117
13.0,0.24669,0.12581171895432058
11.0,0.493379,0.25162343790864117
12.0,0.46287,0.1301353263813763
12.0,0.493379,0.25162343790864117
8.0,0.809767,0.3070529428333118
14.0,0.24669,0.12581171895432058
13.0,0.493379,0.25162343790864117
14.0,0.24669,0.12581171895432058
13.0,0.24669,0.12581171895432058
14.0,0.493379,0.25162343790864117
13.0,0.24669,0.12581171895432058
11.0,0.24669,0.12581171895432058
13.0,0.24669,0.12581171895432058
12.0,0.24669,0.12581171895432058
13.0,0.493379,0.25162343790864117
13.0,0.493379,0.25162343790864117
11.0,0.740069,0.37743515686296175
13.0,0.493379,0.25162343790864117
13.0,0.493379,0.25162343790864117
12.0,0.740069,0.37743515686296175
14.0,0.28382,0.005676392572944297
14.0,0.5,0.009999999999999998
14.0,0.28382,0.005676392572944297
14.0,0.28382,0.005676392572944297
14.0,0.5,0.009999999999999998
15.0,0.28382,0.005676392572944297
13.0,0.28382,0.005676392572944297
13.0,0.28382,0.005676392572944297
12.0,0.28382,0.005676392572944297
13.0,0.5,0.009999999999999998
13.0,0.53051,0.1314881115272649
12.0,0.74669,0.1358117189543206
14.0,0.53051,0.1314881115272649
13.0,0.53051,0.1314881115272649
13.0,0.74669,0.1358117189543206
12.0,0.616814,0.17550331630758503
11.0,0.616814,0.17550331630758503
10.0,0.616814,0.17550331630758503
11.0,0.863503,0.3013150352619056
11.0,0.863503,0.3013150352619056
13.0,0.24669,0.12581171895432058
11.0,0.493379,0.25162343790864117
11.0,0.24669,0.12581171895432058
12.0,0.24669,0.12581171895432058
10.0,0.493379,0.25162343790864117
13.0,0.24669,0.12581171895432058
10.0,0.24669,0.12581171895432058
11.0,0.24669,0.12581171895432058
9.0,0.24669,0.12581171895432058
12.0,0.493379,0.25162343790864117
11.0,0.493379,0.25162343790864117
9.0,0.740069,0.37743515686296175
12.0,0.493379,0.25162343790864117
12.0,0.493379,0.25162343790864117
8.0,0.740069,0.37743515686296175
13.0,0.563077,0.18124122387899122
12.0,0.563077,0.18124122387899122
11.0,0.563077,0.18124122387899122
11.0,0.809767,0.3070529428333118
12.0,0.809767,0.3070529428333118
12.0,0.616814,0.17550331630758503
11.0,0.616814,0.17550331630758503
12.0,0.616814,0.17550331630758503
10.0,0.863503,0.3013150352619056
11.0,0.863503,0.3013150352619056
11.0,0.993379,0.2616234379086412
9.0,1.240069,0.38743515686296176
13.0,0.21618,0.004323607427055703
11.0,0.46287,0.1301353263813763
11.0,0.43236,0.008647214854111405
13.0,0.46287,0.1301353263813763
12.0,0.779257,0.18556483130604692
12.0,0.46287,0.1301353263813763
12.0,0.709559,0.25594704533569684
12.0,0.5,0.009999999999999998
11.0,0.71618,0.014323607427055702
12.0,0.832994,0.17982692373464074
12.0,0.46287,0.1301353263813763
10.0,0.709559,0.25594704533569684
12.0,0.779257,0.18556483130604692
13.0,0.832994,0.17982692373464074
9.0,1.209559,0.26594704533569685
12.0,0.21618,0.004323607427055703
11.0,0.46287,0.1301353263813763
12.0,0.5,0.009999999999999998
11.0,0.46287,0.1301353263813763
11.0,0.832994,0.17982692373464074
12.0,0.21618,0.004323607427055703
9.0,0.43236,0.008647214854111405
11.0,0.46287,0.1301353263813763
10.0,0.46287,0.1301353263813763
11.0,0.779257,0.18556483130604692
12.0,0.46287,0.1301353263813763
10.0,0.709559,0.25594704533569684
11.0,0.21618,0.004323607427055703
10.0,0.46287,0.1301353263813763
12.0,0.46287,0.1301353263813763
10.0,0.5,0.009999999999999998
