complexity,cost,feature_based_cost
8.0,0.160674,0.1606646857030258
9.0,0.145348,0.14533976303134183
6.0,0.061488,0.0614837626524079
4.0,0.092324,0.09231767996144785
5.0,0.061672,0.061667834618079884
4.0,0.260209,0.26019436939440077
8.0,0.030836,0.030833917309039942
9.0,0.04607,0.04606680399788793
7.0,0.046162,0.046158839980723926
11.0,0.030652,0.030649845343367958
7.0,0.046162,0.046158839980723926
11.0,0.030744,0.03074188132620395
8.0,0.197962,0.19795149239414134
12.0,0.015418,0.015416958654519971
8.0,0.207595,0.20758264003160126
8.0,0.044852,0.04484933426769447
7.0,0.061488,0.0614837626524079
12.0,0.022989,0.02298738400752597
6.0,0.16915,0.16913847763357442
10.0,0.048026,0.048023353197603924
10.0,0.030744,0.030741881326203948
9.0,0.202689,0.20267779405245887
9.0,0.030836,0.030833917309039942
