complexity,cost,feature_based_cost
18.0,0.0,0.0
17.0,0.010424,0.0020847194499889117
17.0,0.0,0.0010423597249944558
19.0,0.010424,0.0031270791749833677
17.0,0.0,0.0010423597249944558
14.0,0.0,0.0020847194499889117
19.0,0.010424,0.0031270791749833677
17.0,0.010424,0.0020847194499889117
15.0,0.020848,0.004169438899977823
19.0,0.010424,0.0031270791749833677
19.0,0.010424,0.0031270791749833677
13.0,0.020848,0.006254158349966735
17.0,0.010424,0.0020847194499889117
16.0,0.010424,0.0031270791749833677
16.0,0.020848,0.004169438899977823
18.0,0.020848,0.005211798624972279
17.0,0.0,0.0
16.0,0.010424,0.0020847194499889117
16.0,0.0,0.0010423597249944558
18.0,0.010424,0.0031270791749833677
18.0,0.010424,0.0031270791749833677
15.0,0.010424,0.004169438899977823
19.0,0.010424,0.0020847194499889117
18.0,0.020848,0.004169438899977823
17.0,0.010424,0.0020847194499889117
15.0,0.020848,0.004169438899977823
16.0,0.010424,0.0031270791749833677
17.0,0.010424,0.0020847194499889117
16.0,0.020848,0.005211798624972279
16.0,0.020848,0.004169438899977823
14.0,0.031272,0.006254158349966735
18.0,0.020848,0.005211798624972279
19.0,0.020848,0.004169438899977823
17.0,0.010424,0.0020847194499889117
16.0,0.020848,0.004169438899977823
16.0,0.010424,0.0031270791749833677
18.0,0.020848,0.005211798624972279
16.0,0.010424,0.0031270791749833677
13.0,0.010424,0.004169438899977823
18.0,0.020848,0.005211798624972279
16.0,0.020848,0.004169438899977823
14.0,0.031272,0.006254158349966735
18.0,0.020848,0.005211798624972279
18.0,0.020848,0.005211798624972279
12.0,0.031272,0.008338877799955647
14.0,0.041696,0.008338877799955647
13.0,0.05212,0.010423597249944558
20.0,0.010424,0.0020847194499889117
19.0,0.020848,0.004169438899977823
19.0,0.010424,0.0031270791749833677
19.0,0.020848,0.005211798624972279
17.0,0.0,0.0
17.0,0.010424,0.0020847194499889117
16.0,0.0,0.0010423597249944558
15.0,0.0,0.0
16.0,0.010424,0.0031270791749833677
16.0,0.010424,0.0020847194499889117
14.0,0.010424,0.0020847194499889117
18.0,0.010424,0.0031270791749833677
18.0,0.010424,0.0031270791749833677
16.0,0.020848,0.005211798624972279
15.0,0.010424,0.004169438899977823
16.0,0.010424,0.0031270791749833677
13.0,0.020848,0.006254158349966735
20.0,0.010424,0.0020847194499889117
19.0,0.020848,0.004169438899977823
19.0,0.010424,0.0031270791749833677
19.0,0.020848,0.005211798624972279
19.0,0.010424,0.0020847194499889117
18.0,0.020848,0.004169438899977823
19.0,0.020848,0.004169438899977823
14.0,0.020848,0.004169438899977823
13.0,0.031272,0.006254158349966735
12.0,0.05212,0.012508316699933469
17.0,0.0,0.0
16.0,0.010424,0.0020847194499889117
16.0,0.0,0.0
19.0,0.010424,0.0020847194499889117
16.0,0.0,0.0
14.0,0.0,0.0
19.0,0.010424,0.0020847194499889117
16.0,0.010424,0.0020847194499889117
15.0,0.020848,0.004169438899977823
18.0,0.010424,0.0020847194499889117
18.0,0.010424,0.0020847194499889117
13.0,0.020848,0.004169438899977823
16.0,0.010424,0.0020847194499889117
15.0,0.010424,0.0020847194499889117
15.0,0.020848,0.004169438899977823
17.0,0.020848,0.004169438899977823
16.0,0.0,0.0010423597249944558
15.0,0.010424,0.0031270791749833677
14.0,0.0,0.0010423597249944558
17.0,0.010424,0.0031270791749833677
16.0,0.010424,0.0031270791749833677
14.0,0.010424,0.0031270791749833677
18.0,0.010424,0.0031270791749833677
17.0,0.020848,0.005211798624972279
19.0,0.010424,0.0020847194499889117
18.0,0.020848,0.004169438899977823
18.0,0.010424,0.0020847194499889117
17.0,0.020848,0.004169438899977823
18.0,0.010424,0.0020847194499889117
16.0,0.010424,0.0020847194499889117
19.0,0.020848,0.004169438899977823
18.0,0.020848,0.004169438899977823
16.0,0.031272,0.006254158349966735
18.0,0.020848,0.004169438899977823
19.0,0.020848,0.004169438899977823
14.0,0.031272,0.006254158349966735
17.0,0.0,0.0010423597249944558
16.0,0.010424,0.0031270791749833677
16.0,0.0,0.0020847194499889117
18.0,0.010424,0.004169438899977823
16.0,0.0,0.0020847194499889117
13.0,0.0,0.0031270791749833677
18.0,0.010424,0.004169438899977823
16.0,0.010424,0.0031270791749833677
15.0,0.020848,0.005211798624972279
18.0,0.010424,0.004169438899977823
18.0,0.010424,0.004169438899977823
12.0,0.020848,0.007296518074961191
17.0,0.010424,0.0031270791749833677
15.0,0.010424,0.004169438899977823
16.0,0.020848,0.005211798624972279
17.0,0.020848,0.006254158349966735
17.0,0.0,0.0010423597249944558
16.0,0.010424,0.0031270791749833677
15.0,0.0,0.0020847194499889117
17.0,0.010424,0.004169438899977823
17.0,0.010424,0.004169438899977823
14.0,0.010424,0.005211798624972279
19.0,0.010424,0.0031270791749833677
18.0,0.020848,0.005211798624972279
18.0,0.010424,0.0031270791749833677
16.0,0.020848,0.005211798624972279
16.0,0.010424,0.004169438899977823
17.0,0.010424,0.0031270791749833677
17.0,0.020848,0.006254158349966735
17.0,0.020848,0.005211798624972279
15.0,0.031272,0.007296518074961191
18.0,0.020848,0.006254158349966735
19.0,0.020848,0.005211798624972279
20.0,0.010424,0.0031270791749833677
19.0,0.020848,0.005211798624972279
19.0,0.010424,0.004169438899977823
17.0,0.020848,0.006254158349966735
19.0,0.010424,0.004169438899977823
16.0,0.010424,0.005211798624972279
19.0,0.020848,0.006254158349966735
19.0,0.020848,0.005211798624972279
16.0,0.031272,0.007296518074961191
19.0,0.020848,0.006254158349966735
20.0,0.020848,0.006254158349966735
14.0,0.031272,0.009381237524950103
17.0,0.010424,0.0020847194499889117
16.0,0.020848,0.004169438899977823
16.0,0.010424,0.0031270791749833677
16.0,0.010424,0.0020847194499889117
16.0,0.020848,0.005211798624972279
16.0,0.020848,0.004169438899977823
15.0,0.020848,0.004169438899977823
18.0,0.020848,0.005211798624972279
16.0,0.020848,0.004169438899977823
14.0,0.031272,0.006254158349966735
14.0,0.020848,0.005211798624972279
15.0,0.020848,0.004169438899977823
14.0,0.031272,0.007296518074961191
16.0,0.020848,0.004169438899977823
15.0,0.031272,0.006254158349966735
15.0,0.020848,0.005211798624972279
17.0,0.031272,0.007296518074961191
13.0,0.05212,0.010423597249944558
19.0,0.020848,0.004169438899977823
18.0,0.031272,0.006254158349966735
18.0,0.010424,0.0031270791749833677
16.0,0.020848,0.005211798624972279
15.0,0.010424,0.004169438899977823
16.0,0.010424,0.0031270791749833677
15.0,0.020848,0.006254158349966735
17.0,0.020848,0.005211798624972279
14.0,0.020848,0.006254158349966735
19.0,0.020848,0.005211798624972279
