complexity,cost,feature_based_cost,freqs
1.0,1.964078,0.5320393824041145,310
3.0,1.0,0.05,109
6.0,0.964078,0.48203938240411454,32
6.0,0.0,0.0,31
3.0,1.964078,0.5320393824041145,20
4.0,0.964078,0.48203938240411454,12
5.0,1.482039,0.2910196912020573,3
6.0,0.964078,0.48203938240411454,2
5.0,0.964078,0.48203938240411454,2
5.0,1.464078,0.5070393824041145,2
5.0,0.482039,0.24101969120205724,2
14.0,0.0,0.0,2
5.0,1.464078,0.5070393824041145,1
8.0,0.723059,0.36152953680308586,1
3.0,1.0,0.05,1
5.0,1.0,0.05,1
5.0,1.482039,0.2910196912020573,1
7.0,1.0,0.05,1
8.0,1.60874,0.4418701689400838,1
7.0,0.723059,0.36152953680308586,1
