complexity,cost,feature_based_cost
12.0,0.0,0.0
12.0,0.281808,0.2818080357142857
11.0,0.247073,0.247072775588355
16.0,0.247073,0.247072775588355
12.0,0.615719,0.6157193941631843
16.0,0.247073,0.247072775588355
15.0,0.494146,0.49414555117671
11.0,0.247073,0.247072775588355
11.0,0.494146,0.49414555117671
12.0,0.615719,0.6157193941631843
12.0,0.218192,0.2181919642857143
11.0,0.5,0.5
13.0,0.565194,0.5651941989642633
13.0,0.565194,0.5651941989642633
9.0,0.994146,0.9941455511767101
12.0,0.0,0.0
13.0,0.247073,0.247072775588355
9.0,0.247073,0.247072775588355
11.0,0.218192,0.2181919642857143
11.0,0.565194,0.5651941989642633
14.0,0.0,0.0
14.0,0.247073,0.247072775588355
12.0,0.247073,0.247072775588355
13.0,0.218192,0.2181919642857143
13.0,0.565194,0.5651941989642633
12.0,0.281808,0.2818080357142857
10.0,0.5,0.5
11.0,0.0,0.0
11.0,0.281808,0.2818080357142857
14.0,0.247073,0.247072775588355
11.0,0.247073,0.247072775588355
11.0,0.615719,0.6157193941631843
12.0,0.247073,0.247072775588355
10.0,0.494146,0.49414555117671
15.0,0.247073,0.247072775588355
15.0,0.494146,0.49414555117671
12.0,0.615719,0.6157193941631843
13.0,0.0,0.0
12.0,0.281808,0.2818080357142857
13.0,0.247073,0.247072775588355
15.0,0.247073,0.247072775588355
13.0,0.615719,0.6157193941631843
14.0,0.247073,0.247072775588355
15.0,0.494146,0.49414555117671
14.0,0.247073,0.247072775588355
13.0,0.494146,0.49414555117671
9.0,0.615719,0.6157193941631843
12.0,0.218192,0.2181919642857143
10.0,0.5,0.5
12.0,0.565194,0.5651941989642633
13.0,0.565194,0.5651941989642633
9.0,0.994146,0.9941455511767101
14.0,0.0,0.0
12.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
13.0,0.218192,0.2181919642857143
13.0,0.565194,0.5651941989642633
15.0,0.0,0.0
12.0,0.218192,0.2181919642857143
14.0,0.0,0.0
12.0,0.247073,0.247072775588355
15.0,0.247073,0.247072775588355
15.0,0.0,0.0
14.0,0.247073,0.247072775588355
15.0,0.247073,0.247072775588355
14.0,0.218192,0.2181919642857143
13.0,0.565194,0.5651941989642633
11.0,0.0,0.0
9.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
11.0,0.218192,0.2181919642857143
11.0,0.565194,0.5651941989642633
11.0,0.0,0.0
9.0,0.218192,0.2181919642857143
11.0,0.0,0.0
12.0,0.247073,0.247072775588355
10.0,0.247073,0.247072775588355
13.0,0.0,0.0
11.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
11.0,0.218192,0.2181919642857143
10.0,0.565194,0.5651941989642633
12.0,0.281808,0.2818080357142857
10.0,0.5,0.5
11.0,0.281808,0.2818080357142857
13.0,0.281808,0.2818080357142857
11.0,0.5,0.5
13.0,0.0,0.0
12.0,0.281808,0.2818080357142857
16.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
13.0,0.615719,0.6157193941631843
13.0,0.0,0.0
11.0,0.247073,0.247072775588355
15.0,0.0,0.0
14.0,0.247073,0.247072775588355
13.0,0.281808,0.2818080357142857
13.0,0.0,0.0
12.0,0.281808,0.2818080357142857
14.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
11.0,0.615719,0.6157193941631843
14.0,0.247073,0.247072775588355
13.0,0.494146,0.49414555117671
15.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
14.0,0.494146,0.49414555117671
14.0,0.247073,0.247072775588355
15.0,0.494146,0.49414555117671
13.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
14.0,0.494146,0.49414555117671
9.0,0.615719,0.6157193941631843
11.0,0.615719,0.6157193941631843
11.0,0.0,0.0
11.0,0.281808,0.2818080357142857
11.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
11.0,0.615719,0.6157193941631843
11.0,0.0,0.0
12.0,0.247073,0.247072775588355
14.0,0.0,0.0
12.0,0.247073,0.247072775588355
11.0,0.281808,0.2818080357142857
9.0,0.0,0.0
9.0,0.281808,0.2818080357142857
10.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
10.0,0.615719,0.6157193941631843
15.0,0.247073,0.247072775588355
15.0,0.494146,0.49414555117671
15.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
11.0,0.494146,0.49414555117671
12.0,0.247073,0.247072775588355
10.0,0.494146,0.49414555117671
10.0,0.247073,0.247072775588355
10.0,0.247073,0.247072775588355
8.0,0.494146,0.49414555117671
12.0,0.615719,0.6157193941631843
10.0,0.615719,0.6157193941631843
12.0,0.218192,0.2181919642857143
10.0,0.5,0.5
11.0,0.218192,0.2181919642857143
14.0,0.218192,0.2181919642857143
11.0,0.5,0.5
13.0,0.565194,0.5651941989642633
13.0,0.565194,0.5651941989642633
12.0,0.565194,0.5651941989642633
10.0,0.565194,0.5651941989642633
9.0,0.994146,0.9941455511767101
12.0,0.281808,0.2818080357142857
11.0,0.563616,0.5636160714285714
11.0,0.528881,0.5288808113026406
13.0,0.528881,0.5288808113026406
10.0,0.897527,0.89752742987747
13.0,0.528881,0.5288808113026406
12.0,0.775954,0.7759535868909957
11.0,0.528881,0.5288808113026406
9.0,0.775954,0.7759535868909957
10.0,0.897527,0.89752742987747
10.0,0.5,0.5
9.0,0.781808,0.7818080357142857
10.0,0.847002,0.847002234678549
10.0,0.847002,0.847002234678549
7.0,1.275954,1.2759535868909957
13.0,0.281808,0.2818080357142857
13.0,0.528881,0.5288808113026406
11.0,0.528881,0.5288808113026406
10.0,0.5,0.5
9.0,0.847002,0.847002234678549
13.0,0.281808,0.2818080357142857
11.0,0.528881,0.5288808113026406
13.0,0.528881,0.5288808113026406
10.0,0.5,0.5
9.0,0.847002,0.847002234678549
9.0,0.563616,0.5636160714285714
7.0,0.781808,0.7818080357142857
12.0,0.281808,0.2818080357142857
10.0,0.563616,0.5636160714285714
14.0,0.528881,0.5288808113026406
11.0,0.528881,0.5288808113026406
11.0,0.897527,0.89752742987747
12.0,0.528881,0.5288808113026406
10.0,0.775954,0.7759535868909957
13.0,0.528881,0.5288808113026406
13.0,0.775954,0.7759535868909957
9.0,0.897527,0.89752742987747
12.0,0.281808,0.2818080357142857
10.0,0.563616,0.5636160714285714
11.0,0.528881,0.5288808113026406
14.0,0.528881,0.5288808113026406
11.0,0.897527,0.89752742987747
13.0,0.528881,0.5288808113026406
13.0,0.775954,0.7759535868909957
12.0,0.528881,0.5288808113026406
10.0,0.775954,0.7759535868909957
9.0,0.897527,0.89752742987747
8.0,0.5,0.5
7.0,0.781808,0.7818080357142857
9.0,0.847002,0.847002234678549
9.0,0.847002,0.847002234678549
7.0,1.275954,1.2759535868909957
12.0,0.0,0.0
14.0,0.247073,0.247072775588355
11.0,0.247073,0.247072775588355
11.0,0.218192,0.2181919642857143
12.0,0.565194,0.5651941989642633
14.0,0.0,0.0
13.0,0.218192,0.2181919642857143
11.0,0.0,0.0
9.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
12.0,0.0,0.0
14.0,0.247073,0.247072775588355
12.0,0.247073,0.247072775588355
11.0,0.218192,0.2181919642857143
11.0,0.565194,0.5651941989642633
11.0,0.0,0.0
10.0,0.218192,0.2181919642857143
9.0,0.0,0.0
12.0,0.0,0.0
9.0,0.218192,0.2181919642857143
12.0,0.0,0.0
12.0,0.247073,0.247072775588355
14.0,0.0,0.0
12.0,0.0,0.0
13.0,0.247073,0.247072775588355
12.0,0.247073,0.247072775588355
13.0,0.247073,0.247072775588355
11.0,0.0,0.0
12.0,0.247073,0.247072775588355
12.0,0.0,0.0
8.0,0.0,0.0
11.0,0.247073,0.247072775588355
11.0,0.247073,0.247072775588355
9.0,0.247073,0.247072775588355
11.0,0.218192,0.2181919642857143
12.0,0.218192,0.2181919642857143
11.0,0.565194,0.5651941989642633
11.0,0.281808,0.2818080357142857
13.0,0.528881,0.5288808113026406
10.0,0.528881,0.5288808113026406
9.0,0.5,0.5
10.0,0.847002,0.847002234678549
12.0,0.281808,0.2818080357142857
10.0,0.5,0.5
11.0,0.281808,0.2818080357142857
9.0,0.528881,0.5288808113026406
11.0,0.528881,0.5288808113026406
11.0,0.281808,0.2818080357142857
12.0,0.528881,0.5288808113026406
11.0,0.528881,0.5288808113026406
7.0,0.5,0.5
8.0,0.847002,0.847002234678549
16.0,0.0,0.0
14.0,0.247073,0.247072775588355
16.0,0.247073,0.247072775588355
14.0,0.218192,0.2181919642857143
14.0,0.565194,0.5651941989642633
14.0,0.0,0.0
13.0,0.218192,0.2181919642857143
14.0,0.0,0.0
14.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
14.0,0.0,0.0
14.0,0.247073,0.247072775588355
15.0,0.247073,0.247072775588355
13.0,0.218192,0.2181919642857143
13.0,0.565194,0.5651941989642633
16.0,0.0,0.0
14.0,0.218192,0.2181919642857143
14.0,0.0,0.0
15.0,0.0,0.0
13.0,0.218192,0.2181919642857143
14.0,0.0,0.0
15.0,0.247073,0.247072775588355
14.0,0.0,0.0
14.0,0.0,0.0
15.0,0.247073,0.247072775588355
15.0,0.247073,0.247072775588355
15.0,0.247073,0.247072775588355
14.0,0.0,0.0
13.0,0.247073,0.247072775588355
13.0,0.0,0.0
12.0,0.0,0.0
13.0,0.247073,0.247072775588355
16.0,0.247073,0.247072775588355
14.0,0.247073,0.247072775588355
13.0,0.218192,0.2181919642857143
12.0,0.218192,0.2181919642857143
14.0,0.565194,0.5651941989642633
14.0,0.281808,0.2818080357142857
12.0,0.528881,0.5288808113026406
14.0,0.528881,0.5288808113026406
12.0,0.5,0.5
12.0,0.847002,0.847002234678549
14.0,0.281808,0.2818080357142857
12.0,0.5,0.5
13.0,0.281808,0.2818080357142857
13.0,0.528881,0.5288808113026406
13.0,0.528881,0.5288808113026406
13.0,0.281808,0.2818080357142857
12.0,0.528881,0.5288808113026406
14.0,0.528881,0.5288808113026406
10.0,0.5,0.5
10.0,0.847002,0.847002234678549
12.0,0.281808,0.2818080357142857
11.0,0.5,0.5
11.0,0.281808,0.2818080357142857
12.0,0.281808,0.2818080357142857
9.0,0.5,0.5
12.0,0.281808,0.2818080357142857
12.0,0.281808,0.2818080357142857
11.0,0.281808,0.2818080357142857
9.0,0.281808,0.2818080357142857
11.0,0.5,0.5
11.0,0.563616,0.5636160714285714
9.0,0.781808,0.7818080357142857
9.0,0.563616,0.5636160714285714
11.0,0.563616,0.5636160714285714
7.0,0.781808,0.7818080357142857
11.0,0.0,0.0
11.0,0.281808,0.2818080357142857
14.0,0.247073,0.247072775588355
