complexity,cost,feature_based_cost
18.0,0.0,0.0
17.0,0.010424,0.0
17.0,0.0,0.0
19.0,0.010424,0.0
17.0,0.0,0.0
14.0,0.0,0.0
19.0,0.010424,0.0
17.0,0.010424,0.0
15.0,0.020848,0.0
19.0,0.010424,0.0
19.0,0.010424,0.0
13.0,0.020848,0.0
17.0,0.010424,0.010423597249944558
16.0,0.010424,0.010423597249944558
16.0,0.020848,0.010423597249944558
18.0,0.020848,0.010423597249944558
17.0,0.0,0.0
16.0,0.010424,0.0
16.0,0.0,0.0
18.0,0.010424,0.0
18.0,0.010424,0.010423597249944558
15.0,0.010424,0.010423597249944558
19.0,0.010424,0.0
18.0,0.020848,0.0
17.0,0.010424,0.010423597249944558
15.0,0.020848,0.020847194499889116
16.0,0.010424,0.010423597249944558
17.0,0.010424,0.010423597249944558
16.0,0.020848,0.020847194499889116
16.0,0.020848,0.010423597249944558
14.0,0.031272,0.020847194499889116
18.0,0.020848,0.010423597249944558
19.0,0.020848,0.010423597249944558
17.0,0.010424,0.0
16.0,0.020848,0.0
16.0,0.010424,0.0
18.0,0.020848,0.0
16.0,0.010424,0.0
13.0,0.010424,0.0
18.0,0.020848,0.0
16.0,0.020848,0.0
14.0,0.031272,0.0
18.0,0.020848,0.0
18.0,0.020848,0.0
12.0,0.031272,0.0
14.0,0.041696,0.020847194499889116
13.0,0.05212,0.020847194499889116
20.0,0.010424,0.0
19.0,0.020848,0.0
19.0,0.010424,0.0
19.0,0.020848,0.0
17.0,0.0,0.0
17.0,0.010424,0.010423597249944558
16.0,0.0,0.0
15.0,0.0,0.0
16.0,0.010424,0.010423597249944558
16.0,0.010424,0.0
14.0,0.010424,0.0
18.0,0.010424,0.0
18.0,0.010424,0.010423597249944558
16.0,0.020848,0.020847194499889116
15.0,0.010424,0.010423597249944558
16.0,0.010424,0.010423597249944558
13.0,0.020848,0.020847194499889116
20.0,0.010424,0.0
19.0,0.020848,0.0
19.0,0.010424,0.0
19.0,0.020848,0.0
19.0,0.010424,0.0
18.0,0.020848,0.0
19.0,0.020848,0.010423597249944558
14.0,0.020848,0.0
13.0,0.031272,0.0
12.0,0.05212,0.020847194499889116
17.0,0.0,0.0
16.0,0.010424,0.0
16.0,0.0,0.0
19.0,0.010424,0.0
16.0,0.0,0.0
14.0,0.0,0.0
19.0,0.010424,0.0
16.0,0.010424,0.0
15.0,0.020848,0.0
18.0,0.010424,0.0
18.0,0.010424,0.0
13.0,0.020848,0.0
16.0,0.010424,0.010423597249944558
15.0,0.010424,0.010423597249944558
15.0,0.020848,0.010423597249944558
